date_time,Date,Time,Open,High,Low,Close,Volume
05.11.2013 16:00,05.11.2013,16:00,1.32,1.33,1.31,1.31,891346
05.11.2013 17:00,05.11.2013,17:00,1.32,1.32,1.31,1.31,505805
06.11.2013 09:00,06.11.2013,09:00,1.32,1.35,1.32,1.33,712468
06.11.2013 10:00,06.11.2013,10:00,1.33,1.33,1.31,1.32,397018
06.11.2013 11:00,06.11.2013,11:00,1.31,1.32,1.31,1.31,73869
06.11.2013 12:00,06.11.2013,12:00,1.32,1.32,1.31,1.32,70271
06.11.2013 14:00,06.11.2013,14:00,1.32,1.32,1.31,1.32,59525
06.11.2013 15:00,06.11.2013,15:00,1.32,1.33,1.31,1.31,515118
06.11.2013 16:00,06.11.2013,16:00,1.32,1.32,1.3,1.31,338873
06.11.2013 17:00,06.11.2013,17:00,1.32,1.32,1.31,1.31,117662
07.11.2013 09:00,07.11.2013,09:00,1.32,1.33,1.31,1.32,498747
07.11.2013 10:00,07.11.2013,10:00,1.33,1.33,1.31,1.31,201298
07.11.2013 11:00,07.11.2013,11:00,1.32,1.32,1.31,1.31,99453
07.11.2013 12:00,07.11.2013,12:00,1.32,1.32,1.31,1.32,25804
07.11.2013 14:00,07.11.2013,14:00,1.32,1.32,1.31,1.31,77898
07.11.2013 15:00,07.11.2013,15:00,1.31,1.32,1.31,1.32,103102
07.11.2013 16:00,07.11.2013,16:00,1.32,1.32,1.31,1.32,87924
07.11.2013 17:00,07.11.2013,17:00,1.31,1.32,1.3,1.3,449746
08.11.2013 09:00,08.11.2013,09:00,1.31,1.32,1.3,1.32,282667
08.11.2013 10:00,08.11.2013,10:00,1.31,1.32,1.3,1.31,152906
08.11.2013 11:00,08.11.2013,11:00,1.3,1.31,1.3,1.31,83200
08.11.2013 12:00,08.11.2013,12:00,1.31,1.31,1.3,1.31,7817
08.11.2013 14:00,08.11.2013,14:00,1.31,1.31,1.29,1.3,258820
08.11.2013 15:00,08.11.2013,15:00,1.29,1.3,1.28,1.28,366695
08.11.2013 16:00,08.11.2013,16:00,1.29,1.29,1.28,1.29,312909
08.11.2013 17:00,08.11.2013,17:00,1.29,1.29,1.28,1.28,201393
11.11.2013 09:00,11.11.2013,09:00,1.29,1.3,1.28,1.29,116995
11.11.2013 10:00,11.11.2013,10:00,1.29,1.3,1.28,1.29,178172
11.11.2013 11:00,11.11.2013,11:00,1.3,1.3,1.28,1.28,113578
11.11.2013 12:00,11.11.2013,12:00,1.29,1.29,1.28,1.29,28720
11.11.2013 14:00,11.11.2013,14:00,1.29,1.29,1.28,1.29,48526
11.11.2013 15:00,11.11.2013,15:00,1.28,1.3,1.28,1.28,200228
11.11.2013 16:00,11.11.2013,16:00,1.28,1.29,1.27,1.28,197670
11.11.2013 17:00,11.11.2013,17:00,1.27,1.28,1.27,1.27,129535
12.11.2013 09:00,12.11.2013,09:00,1.31,1.34,1.29,1.3,977091
12.11.2013 10:00,12.11.2013,10:00,1.29,1.3,1.28,1.28,320547
12.11.2013 11:00,12.11.2013,11:00,1.29,1.29,1.28,1.28,109630
12.11.2013 12:00,12.11.2013,12:00,1.28,1.29,1.28,1.28,153703
12.11.2013 14:00,12.11.2013,14:00,1.29,1.29,1.28,1.29,184327
12.11.2013 15:00,12.11.2013,15:00,1.28,1.3,1.28,1.3,211657
12.11.2013 16:00,12.11.2013,16:00,1.3,1.3,1.28,1.29,445348
12.11.2013 17:00,12.11.2013,17:00,1.29,1.3,1.28,1.3,375625
13.11.2013 09:00,13.11.2013,09:00,1.3,1.31,1.29,1.31,320404
13.11.2013 10:00,13.11.2013,10:00,1.3,1.31,1.29,1.29,357509
13.11.2013 11:00,13.11.2013,11:00,1.29,1.3,1.29,1.29,105305
13.11.2013 12:00,13.11.2013,12:00,1.29,1.3,1.29,1.29,54535
13.11.2013 14:00,13.11.2013,14:00,1.3,1.3,1.29,1.29,88964
13.11.2013 15:00,13.11.2013,15:00,1.29,1.3,1.28,1.29,280390
13.11.2013 16:00,13.11.2013,16:00,1.29,1.29,1.28,1.29,367528
13.11.2013 17:00,13.11.2013,17:00,1.28,1.29,1.28,1.29,292182
14.11.2013 09:00,14.11.2013,09:00,1.3,1.31,1.29,1.3,326154
14.11.2013 10:00,14.11.2013,10:00,1.3,1.3,1.29,1.29,447901
14.11.2013 11:00,14.11.2013,11:00,1.29,1.31,1.29,1.3,584415
14.11.2013 12:00,14.11.2013,12:00,1.3,1.3,1.29,1.3,85116
14.11.2013 14:00,14.11.2013,14:00,1.3,1.31,1.29,1.3,224327
14.11.2013 15:00,14.11.2013,15:00,1.3,1.3,1.29,1.3,87540
14.11.2013 16:00,14.11.2013,16:00,1.3,1.31,1.29,1.3,182485
14.11.2013 17:00,14.11.2013,17:00,1.31,1.31,1.3,1.3,151215
15.11.2013 11:00,15.11.2013,11:00,1.31,1.31,1.3,1.31,246293
15.11.2013 12:00,15.11.2013,12:00,1.3,1.31,1.3,1.31,16101
15.11.2013 14:00,15.11.2013,14:00,1.3,1.31,1.29,1.29,313275
15.11.2013 15:00,15.11.2013,15:00,1.3,1.31,1.29,1.29,366992
15.11.2013 16:00,15.11.2013,16:00,1.29,1.31,1.29,1.3,268173
15.11.2013 17:00,15.11.2013,17:00,1.3,1.31,1.3,1.3,96191
18.11.2013 09:00,18.11.2013,09:00,1.3,1.31,1.3,1.3,126193
18.11.2013 10:00,18.11.2013,10:00,1.3,1.31,1.3,1.3,138051
18.11.2013 11:00,18.11.2013,11:00,1.3,1.31,1.3,1.31,87764
18.11.2013 12:00,18.11.2013,12:00,1.3,1.31,1.3,1.31,65917
18.11.2013 14:00,18.11.2013,14:00,1.31,1.32,1.3,1.31,372145
18.11.2013 15:00,18.11.2013,15:00,1.3,1.31,1.3,1.31,57490
18.11.2013 16:00,18.11.2013,16:00,1.3,1.31,1.3,1.31,98009
18.11.2013 17:00,18.11.2013,17:00,1.3,1.31,1.3,1.31,109687
19.11.2013 09:00,19.11.2013,09:00,1.31,1.31,1.3,1.31,76041
19.11.2013 10:00,19.11.2013,10:00,1.3,1.31,1.3,1.31,122175
19.11.2013 11:00,19.11.2013,11:00,1.31,1.31,1.3,1.31,39566
19.11.2013 12:00,19.11.2013,12:00,1.3,1.31,1.3,1.31,6448
19.11.2013 14:00,19.11.2013,14:00,1.31,1.31,1.29,1.3,232044
19.11.2013 15:00,19.11.2013,15:00,1.3,1.3,1.29,1.3,183499
19.11.2013 16:00,19.11.2013,16:00,1.3,1.3,1.29,1.29,53371
19.11.2013 17:00,19.11.2013,17:00,1.29,1.3,1.29,1.29,243571
20.11.2013 09:00,20.11.2013,09:00,1.3,1.3,1.29,1.3,66687
20.11.2013 10:00,20.11.2013,10:00,1.29,1.3,1.29,1.29,94622
20.11.2013 11:00,20.11.2013,11:00,1.3,1.3,1.29,1.3,129322
20.11.2013 12:00,20.11.2013,12:00,1.3,1.3,1.28,1.29,268791
20.11.2013 14:00,20.11.2013,14:00,1.29,1.3,1.28,1.29,69292
20.11.2013 15:00,20.11.2013,15:00,1.28,1.3,1.28,1.3,125490
20.11.2013 16:00,20.11.2013,16:00,1.3,1.3,1.28,1.28,39758
20.11.2013 17:00,20.11.2013,17:00,1.29,1.3,1.28,1.29,247669
21.11.2013 09:00,21.11.2013,09:00,1.28,1.29,1.28,1.29,151412
21.11.2013 10:00,21.11.2013,10:00,1.28,1.29,1.27,1.29,109578
21.11.2013 11:00,21.11.2013,11:00,1.28,1.29,1.28,1.29,28024
21.11.2013 12:00,21.11.2013,12:00,1.29,1.29,1.28,1.29,14583
21.11.2013 14:00,21.11.2013,14:00,1.29,1.29,1.28,1.29,186598
21.11.2013 15:00,21.11.2013,15:00,1.29,1.29,1.28,1.29,62791
21.11.2013 16:00,21.11.2013,16:00,1.28,1.29,1.28,1.29,84870
21.11.2013 17:00,21.11.2013,17:00,1.28,1.29,1.28,1.28,73812
22.11.2013 09:00,22.11.2013,09:00,1.29,1.29,1.28,1.29,123422
22.11.2013 10:00,22.11.2013,10:00,1.29,1.29,1.28,1.29,254218
22.11.2013 11:00,22.11.2013,11:00,1.29,1.29,1.28,1.29,105444
22.11.2013 12:00,22.11.2013,12:00,1.29,1.29,1.29,1.29,24440
22.11.2013 14:00,22.11.2013,14:00,1.28,1.29,1.28,1.29,144436
22.11.2013 15:00,22.11.2013,15:00,1.29,1.29,1.28,1.29,46410
22.11.2013 16:00,22.11.2013,16:00,1.28,1.29,1.28,1.29,127088
22.11.2013 17:00,22.11.2013,17:00,1.28,1.3,1.28,1.3,168099
25.11.2013 09:00,25.11.2013,09:00,1.3,1.31,1.29,1.3,299377
25.11.2013 10:00,25.11.2013,10:00,1.3,1.31,1.3,1.3,331070
25.11.2013 11:00,25.11.2013,11:00,1.3,1.31,1.29,1.3,139454
25.11.2013 12:00,25.11.2013,12:00,1.29,1.3,1.29,1.3,14789
25.11.2013 14:00,25.11.2013,14:00,1.3,1.3,1.29,1.3,79979
25.11.2013 15:00,25.11.2013,15:00,1.3,1.3,1.29,1.3,59484
25.11.2013 16:00,25.11.2013,16:00,1.3,1.3,1.29,1.3,120924
25.11.2013 17:00,25.11.2013,17:00,1.29,1.3,1.29,1.29,340531
26.11.2013 09:00,26.11.2013,09:00,1.3,1.3,1.29,1.29,48987
26.11.2013 10:00,26.11.2013,10:00,1.3,1.3,1.29,1.3,81626
26.11.2013 11:00,26.11.2013,11:00,1.29,1.3,1.29,1.29,45079
26.11.2013 12:00,26.11.2013,12:00,1.3,1.3,1.29,1.3,3901
26.11.2013 14:00,26.11.2013,14:00,1.29,1.3,1.29,1.3,30463
26.11.2013 15:00,26.11.2013,15:00,1.3,1.3,1.29,1.29,130858
26.11.2013 16:00,26.11.2013,16:00,1.29,1.3,1.28,1.29,484557
26.11.2013 17:00,26.11.2013,17:00,1.29,1.3,1.28,1.29,135577
27.11.2013 09:00,27.11.2013,09:00,1.3,1.3,1.29,1.29,114128
27.11.2013 10:00,27.11.2013,10:00,1.29,1.3,1.28,1.28,217882
27.11.2013 11:00,27.11.2013,11:00,1.29,1.3,1.29,1.29,62102
27.11.2013 12:00,27.11.2013,12:00,1.3,1.3,1.29,1.29,7341
27.11.2013 14:00,27.11.2013,14:00,1.29,1.29,1.28,1.28,82045
27.11.2013 15:00,27.11.2013,15:00,1.29,1.3,1.28,1.3,342041
27.11.2013 16:00,27.11.2013,16:00,1.29,1.3,1.29,1.29,111528
27.11.2013 17:00,27.11.2013,17:00,1.29,1.3,1.29,1.29,113206
28.11.2013 09:00,28.11.2013,09:00,1.29,1.31,1.29,1.31,1290552
28.11.2013 10:00,28.11.2013,10:00,1.31,1.39,1.3,1.36,5885271
28.11.2013 11:00,28.11.2013,11:00,1.36,1.37,1.34,1.35,1200899
28.11.2013 12:00,28.11.2013,12:00,1.34,1.35,1.34,1.34,202689
28.11.2013 14:00,28.11.2013,14:00,1.35,1.35,1.33,1.34,683257
28.11.2013 15:00,28.11.2013,15:00,1.35,1.35,1.33,1.34,361006
28.11.2013 16:00,28.11.2013,16:00,1.34,1.34,1.32,1.34,577535
28.11.2013 17:00,28.11.2013,17:00,1.34,1.34,1.32,1.32,720620
29.11.2013 09:00,29.11.2013,09:00,1.33,1.36,1.33,1.35,759748
29.11.2013 10:00,29.11.2013,10:00,1.35,1.35,1.33,1.34,809400
29.11.2013 11:00,29.11.2013,11:00,1.33,1.34,1.32,1.33,259530
29.11.2013 12:00,29.11.2013,12:00,1.33,1.33,1.32,1.33,30381
29.11.2013 14:00,29.11.2013,14:00,1.33,1.33,1.32,1.32,148106
